Gen,NbVert,tRewAvg,tRewMax,tDistMax,vRewAvg,vRewMax,vDistMax,vSuccess,T_mutat,T_eval,T_val,T_total,seed,instrType,instrSetName,useInstrTrig,useInstrLogExp,useInstrComparison,useInstrExpensiveArithmetic,useInstrZmmul,useInstrLog2Exp2
0,2009,-424.77,-277.32,277.51,-300.56,-295.8,295.8,0.0,0.0,219.68,2.46,231.71,0,fixedpt,comp,False,False,True,True,False,False
1,2030,-364.34,-207.56,208.9,-228.0,-218.17,219.79,0.1,1.22,276.24,4.78,523.2,0,fixedpt,comp,False,False,True,True,False,False
2,2050,-351.53,-184.48,185.2,-214.27,-203.9,205.64,0.1,1.46,353.76,3.89,892.77,0,fixedpt,comp,False,False,True,True,False,False
3,2067,-332.53,-174.52,177.54,-205.23,-199.87,201.61,0.1,1.61,390.47,4.03,1298.28,0,fixedpt,comp,False,False,True,True,False,False
4,2072,-321.06,-165.93,168.52,-201.92,-177.99,179.52,0.09,1.79,423.97,5.71,1739.8,0,fixedpt,comp,False,False,True,True,False,False
5,2082,-334.52,-182.85,185.21,-196.29,-187.74,190.76,0.18,2.18,413.73,4.76,2168.02,0,fixedpt,comp,False,False,True,True,False,False
6,2087,-277.9,-124.09,127.3,-174.46,-148.98,151.66,0.16,2.2,472.79,4.96,2657.02,0,fixedpt,comp,False,False,True,True,False,False
7,2092,-292.93,-124.95,129.77,-152.58,-148.98,151.66,0.16,2.68,479.57,6.05,3155.23,0,fixedpt,comp,False,False,True,True,False,False
8,2098,-320.32,-134.89,137.89,-157.09,-148.98,151.66,0.16,2.83,479.06,4.97,3650.77,0,fixedpt,comp,False,False,True,True,False,False
9,2099,-282.58,-111.55,115.57,-149.23,-148.98,151.66,0.16,2.96,506.14,6.31,4177.08,0,fixedpt,comp,False,False,True,True,False,False
10,2099,-283.2,-119.68,123.39,-150.12,-141.83,144.51,0.16,2.88,511.92,5.77,4708.52,0,fixedpt,comp,False,False,True,True,False,False
11,2101,-260.93,-116.18,120.37,-141.83,-141.83,144.51,0.16,2.82,551.77,6.04,5279.39,0,fixedpt,comp,False,False,True,True,False,False
12,2107,-267.77,-133.25,136.42,-141.47,-140.11,142.79,0.16,2.78,541.51,6.88,5840.11,0,fixedpt,comp,False,False,True,True,False,False
13,2107,-261.1,-132.67,135.71,-142.99,-142.67,145.35,0.16,2.86,560.71,7.12,6420.95,0,fixedpt,comp,False,False,True,True,False,False
14,2107,-223.2,-133.92,136.82,-146.48,-141.62,143.82,0.13,2.74,591.6,7.36,7032.05,0,fixedpt,comp,False,False,True,True,False,False
15,2111,-241.24,-131.19,133.66,-148.31,-143.86,145.32,0.09,3.2,561.78,8.11,7614.75,0,fixedpt,comp,False,False,True,True,False,False
16,2107,-259.96,-125.57,126.25,-125.37,-120.82,121.34,0.03,3.67,601.46,6.64,8235.44,0,fixedpt,comp,False,False,True,True,False,False
17,2109,-225.79,-90.93,94.66,-127.7,-125.02,127.68,0.16,3.65,616.89,7.28,8871.49,0,fixedpt,comp,False,False,True,True,False,False
18,2111,-231.14,-111.09,113.76,-126.64,-123.59,126.08,0.15,3.67,591.51,8.88,9485.38,0,fixedpt,comp,False,False,True,True,False,False
19,2106,-229.34,-115.07,118.54,-122.15,-113.48,114.2,0.04,3.57,591.46,7.42,10098.2,0,fixedpt,comp,False,False,True,True,False,False
20,2114,-212.21,-104.93,107.12,-122.59,-118.07,120.73,0.16,3.59,660.9,7.2,10778.13,0,fixedpt,comp,False,False,True,True,False,False
21,2114,-213.19,-102.6,104.11,-112.01,-111.96,112.83,0.05,3.45,600.45,7.37,11398.1,0,fixedpt,comp,False,False,True,True,False,False
22,2103,-196.63,-89.66,93.43,-121.19,-114.44,116.58,0.13,3.28,630.85,7.73,12049.21,0,fixedpt,comp,False,False,True,True,False,False
23,2113,-211.39,-107.98,109.03,-120.59,-111.89,112.8,0.05,3.47,638.73,6.79,12708.29,0,fixedpt,comp,False,False,True,True,False,False
24,2118,-174.73,-96.6,100.64,-124.14,-117.2,119.03,0.11,3.37,645.25,6.34,13372.85,0,fixedpt,comp,False,False,True,True,False,False
25,2115,-190.53,-81.08,84.75,-119.77,-114.94,117.42,0.15,3.59,645.2,7.67,14040.83,0,fixedpt,comp,False,False,True,True,False,False
26,2117,-194.0,-96.62,100.11,-115.08,-101.06,105.19,0.25,3.57,586.39,8.48,14648.61,0,fixedpt,comp,False,False,True,True,False,False
27,2117,-187.69,-84.2,88.34,-107.56,-93.09,95.91,0.17,3.68,638.11,8.91,15309.26,0,fixedpt,comp,False,False,True,True,False,False
28,2115,-188.5,-102.69,105.18,-110.35,-93.09,95.91,0.17,3.9,679.74,7.39,16008.48,0,fixedpt,comp,False,False,True,True,False,False
29,2118,-173.22,-79.88,82.87,-94.19,-92.36,95.34,0.18,4.08,659.1,9.31,16691.24,0,fixedpt,comp,False,False,True,True,False,False
30,2121,-161.28,-97.56,100.43,-110.12,-100.01,104.01,0.24,4.14,704.68,9.27,17419.81,0,fixedpt,comp,False,False,True,True,False,False
31,2118,-181.6,-96.86,99.64,-94.28,-89.27,92.25,0.18,4.29,626.66,8.74,18071.26,0,fixedpt,comp,False,False,True,True,False,False
32,2123,-159.14,-82.59,87.65,-102.63,-100.88,105.33,0.27,4.38,717.47,9.35,18812.05,0,fixedpt,comp,False,False,True,True,False,False
33,2127,-170.0,-75.34,80.04,-95.27,-87.83,91.78,0.24,4.53,726.65,11.63,19563.86,0,fixedpt,comp,False,False,True,True,False,False
34,2119,-181.73,-90.62,94.19,-93.57,-87.86,90.71,0.17,4.7,754.86,10.03,20342.48,0,fixedpt,comp,False,False,True,True,False,False
35,2121,-163.2,-82.37,86.19,-90.62,-85.22,88.58,0.2,4.93,717.37,10.79,21083.25,0,fixedpt,comp,False,False,True,True,False,False
36,2125,-175.49,-78.62,81.46,-90.71,-90.32,93.63,0.2,4.99,771.74,9.85,21880.94,0,fixedpt,comp,False,False,True,True,False,False
37,2117,-157.34,-79.26,83.58,-90.57,-81.53,85.84,0.26,5.07,778.73,10.59,22683.33,0,fixedpt,comp,False,False,True,True,False,False
38,2122,-152.44,-74.97,80.4,-93.99,-91.63,95.93,0.26,4.94,776.23,10.44,23485.47,0,fixedpt,comp,False,False,True,True,False,False
39,2124,-167.79,-80.51,82.81,-86.89,-81.53,85.84,0.26,5.09,747.35,9.34,24257.37,0,fixedpt,comp,False,False,True,True,False,False
40,2125,-167.0,-69.29,73.85,-90.14,-74.52,78.66,0.25,5.1,748.77,12.2,25033.62,0,fixedpt,comp,False,False,True,True,False,False
41,2132,-185.21,-81.18,85.0,-77.36,-69.93,74.22,0.26,5.33,805.0,10.26,25862.61,0,fixedpt,comp,False,False,True,True,False,False
42,2138,-144.25,-63.04,67.21,-75.82,-70.87,75.12,0.26,5.31,839.88,13.03,26729.07,0,fixedpt,comp,False,False,True,True,False,False
43,2144,-168.4,-71.46,74.72,-79.77,-74.27,77.68,0.2,5.28,763.12,11.68,27517.95,0,fixedpt,comp,False,False,True,True,False,False
44,2149,-174.55,-67.48,72.78,-74.97,-71.54,75.83,0.26,5.39,822.15,11.13,28367.29,0,fixedpt,comp,False,False,True,True,False,False
45,2149,-163.93,-65.65,69.41,-77.62,-74.27,77.68,0.2,5.74,747.5,12.03,29142.91,0,fixedpt,comp,False,False,True,True,False,False
46,2136,-165.74,-58.45,64.51,-74.33,-67.24,71.88,0.27,5.48,812.64,12.59,29983.13,0,fixedpt,comp,False,False,True,True,False,False
47,2141,-176.0,-63.83,68.06,-74.26,-72.43,75.83,0.2,5.46,760.11,11.58,30768.73,0,fixedpt,comp,False,False,True,True,False,False
48,2141,-154.58,-50.95,58.09,-73.32,-68.19,71.55,0.2,5.2,876.81,12.14,31673.97,0,fixedpt,comp,False,False,True,True,False,False
49,2138,-148.36,-59.95,64.3,-61.73,-57.58,62.5,0.29,5.32,874.31,12.7,32575.51,0,fixedpt,comp,False,False,True,True,False,False
50,2145,-150.81,-43.62,50.28,-59.91,-57.91,62.61,0.28,5.48,862.14,12.84,33465.53,0,fixedpt,comp,False,False,True,True,False,False
51,2153,-180.87,-69.2,73.4,-61.84,-58.74,63.72,0.29,5.69,844.72,12.88,34338.4,0,fixedpt,comp,False,False,True,True,False,False
52,2153,-176.16,-56.51,61.89,-60.63,-57.44,62.31,0.29,5.72,840.97,16.48,35211.21,0,fixedpt,comp,False,False,True,True,False,False
53,2145,-168.19,-53.86,59.74,-60.24,-59.74,64.46,0.28,5.74,945.79,14.1,36187.45,0,fixedpt,comp,False,False,True,True,False,False
54,2154,-168.42,-55.33,60.65,-60.7,-58.25,62.83,0.27,5.84,925.97,14.62,37143.31,0,fixedpt,comp,False,False,True,True,False,False
55,2158,-166.11,-54.26,59.03,-60.1,-59.1,63.98,0.29,5.94,974.85,13.95,38146.9,0,fixedpt,comp,False,False,True,True,False,False
56,2154,-156.21,-46.04,53.66,-65.3,-62.37,69.0,0.4,5.81,959.14,12.99,39135.33,0,fixedpt,comp,False,False,True,True,False,False
57,2145,-156.43,-48.51,54.16,-61.6,-59.35,64.03,0.28,5.79,956.98,13.99,40120.27,0,fixedpt,comp,False,False,True,True,False,False
58,2147,-127.19,-48.77,55.04,-57.29,-55.83,60.95,0.3,5.49,1006.69,12.46,41155.54,0,fixedpt,comp,False,False,True,True,False,False
59,2152,-161.16,-52.97,59.18,-59.43,-58.26,64.07,0.35,5.65,982.09,15.57,42168.61,0,fixedpt,comp,False,False,True,True,False,False
60,2148,-157.63,-55.37,61.97,-59.45,-57.33,62.33,0.3,5.8,982.55,15.02,43182.9,0,fixedpt,comp,False,False,True,True,False,False
61,2155,-160.93,-57.08,62.01,-59.2,-56.87,61.74,0.29,5.85,983.62,13.44,44196.01,0,fixedpt,comp,False,False,True,True,False,False
62,2156,-155.82,-50.46,56.97,-59.72,-54.26,59.68,0.32,5.84,946.16,12.61,45170.59,0,fixedpt,comp,False,False,True,True,False,False
63,2154,-157.29,-51.32,56.9,-55.31,-54.93,60.91,0.36,5.9,1125.34,14.17,46326.51,0,fixedpt,comp,False,False,True,True,False,False
64,2159,-125.78,-53.28,57.43,-58.27,-52.89,59.24,0.38,5.56,1139.83,14.74,47496.32,0,fixedpt,comp,False,False,True,True,False,False
65,2156,-139.79,-54.61,60.2,-54.26,-52.15,57.27,0.3,5.65,1106.52,15.03,48633.81,0,fixedpt,comp,False,False,True,True,False,False
66,2157,-144.41,-49.21,55.89,-55.27,-51.89,58.71,0.41,5.61,1103.29,14.66,49768.85,0,fixedpt,comp,False,False,True,True,False,False
67,2154,-134.08,-38.7,46.2,-55.3,-49.0,55.32,0.38,5.55,1124.47,14.31,50923.25,0,fixedpt,comp,False,False,True,True,False,False
68,2152,-128.59,-50.13,56.97,-53.67,-53.27,59.38,0.37,5.6,1228.33,13.56,52180.1,0,fixedpt,comp,False,False,True,True,False,False
69,2153,-137.42,-56.04,62.33,-53.99,-53.09,59.91,0.41,5.58,1131.38,13.84,53341.36,0,fixedpt,comp,False,False,True,True,False,False
70,2153,-133.5,-50.38,56.58,-54.42,-52.24,58.35,0.37,5.54,1103.04,13.53,54473.8,0,fixedpt,comp,False,False,True,True,False,False
71,2144,-124.44,-43.44,50.65,-52.78,-52.24,58.35,0.37,5.65,1110.06,14.23,55614.07,0,fixedpt,comp,False,False,True,True,False,False
72,2145,-118.74,-48.1,54.2,-50.95,-48.85,55.78,0.42,5.91,1195.67,14.12,56839.34,0,fixedpt,comp,False,False,True,True,False,False
73,2144,-132.25,-44.99,52.47,-52.67,-49.35,55.6,0.38,5.69,1145.09,13.03,58011.55,0,fixedpt,comp,False,False,True,True,False,False
74,2142,-113.38,-52.11,57.71,-51.31,-49.34,55.6,0.38,5.53,1177.65,13.79,59217.77,0,fixedpt,comp,False,False,True,True,False,False
75,2145,-98.41,-58.57,64.26,-51.04,-49.29,55.55,0.38,5.47,1250.49,13.39,60498.46,0,fixedpt,comp,False,False,True,True,False,False
76,2139,-114.87,-42.28,49.85,-53.17,-49.64,56.28,0.4,5.69,1182.45,14.24,61712.05,0,fixedpt,comp,False,False,True,True,False,False
77,2142,-118.51,-44.69,52.05,-55.94,-51.13,57.24,0.37,5.69,1242.71,16.35,62986.85,0,fixedpt,comp,False,False,True,True,False,False
78,2151,-95.76,-42.42,50.59,-53.01,-51.33,57.93,0.4,5.67,1389.83,15.35,64407.82,0,fixedpt,comp,False,False,True,True,False,False
79,2147,-114.71,-47.35,54.08,-56.8,-53.12,59.19,0.37,5.75,1268.25,14.56,65706.44,0,fixedpt,comp,False,False,True,True,False,False
80,2146,-126.49,-49.8,56.03,-50.85,-48.7,54.93,0.38,5.66,1273.66,13.88,67009.23,0,fixedpt,comp,False,False,True,True,False,False
81,2151,-112.35,-51.67,57.0,-49.33,-47.8,54.24,0.39,5.66,1304.55,13.15,68343.0,0,fixedpt,comp,False,False,True,True,False,False
82,2146,-107.39,-48.85,55.48,-51.08,-49.64,56.28,0.4,5.97,1293.74,14.27,69667.87,0,fixedpt,comp,False,False,True,True,False,False
83,2146,-113.93,-48.71,54.83,-51.26,-47.8,54.24,0.39,5.71,1238.41,13.63,70934.06,0,fixedpt,comp,False,False,True,True,False,False
84,2146,-128.05,-52.78,58.88,-51.29,-50.12,56.57,0.39,5.9,1301.2,13.13,72265.26,0,fixedpt,comp,False,False,True,True,False,False
85,2142,-100.95,-50.83,56.92,-48.96,-45.56,52.02,0.39,6.04,1368.63,14.84,73662.77,0,fixedpt,comp,False,False,True,True,False,False
86,2145,-112.04,-52.57,58.72,-50.02,-45.56,52.02,0.39,5.9,1241.81,13.16,74933.75,0,fixedpt,comp,False,False,True,True,False,False
87,2146,-115.46,-50.23,56.79,-49.15,-48.72,55.02,0.38,5.76,1299.97,13.66,76263.83,0,fixedpt,comp,False,False,True,True,False,False
88,2150,-124.59,-54.03,60.24,-49.29,-48.37,54.3,0.36,5.87,1367.66,13.89,77661.52,0,fixedpt,comp,False,False,True,True,False,False
89,2150,-90.65,-42.02,48.63,-51.64,-50.77,56.92,0.37,5.91,1307.32,14.37,78999.79,0,fixedpt,comp,False,False,True,True,False,False
90,2152,-92.2,-48.5,54.59,-51.28,-50.77,56.92,0.37,6.09,1374.34,14.79,80404.34,0,fixedpt,comp,False,False,True,True,False,False
91,2147,-108.51,-46.91,53.73,-51.69,-48.78,55.21,0.39,6.16,1314.1,13.9,81749.41,0,fixedpt,comp,False,False,True,True,False,False
92,2151,-122.83,-57.89,64.25,-52.44,-49.12,55.43,0.38,6.09,1266.34,15.0,83047.51,0,fixedpt,comp,False,False,True,True,False,False
93,2160,-100.79,-40.45,47.89,-50.83,-49.32,55.58,0.38,6.21,1315.59,14.43,84392.88,0,fixedpt,comp,False,False,True,True,False,False
94,2156,-108.67,-48.88,54.41,-51.76,-48.53,54.97,0.39,6.56,1299.38,14.73,85722.39,0,fixedpt,comp,False,False,True,True,False,False
95,2161,-118.35,-46.7,53.92,-51.72,-50.05,56.3,0.38,6.3,1344.13,15.32,87098.68,0,fixedpt,comp,False,False,True,True,False,False
96,2150,-101.07,-51.48,57.14,-52.51,-50.77,56.92,0.37,6.24,1285.97,14.7,88415.56,0,fixedpt,comp,False,False,True,True,False,False
97,2160,-91.84,-43.15,51.11,-49.35,-48.71,54.98,0.38,6.18,1416.83,14.47,89861.79,0,fixedpt,comp,False,False,True,True,False,False
98,2159,-112.34,-55.22,61.15,-49.9,-46.5,53.14,0.4,6.39,1227.01,16.65,91121.19,0,fixedpt,comp,False,False,True,True,False,False
99,2156,-115.63,-46.75,53.28,-52.41,-48.34,55.14,0.41,6.36,1231.25,14.52,92383.13,0,fixedpt,comp,False,False,True,True,False,False
0,2009,-415.02,-254.81,254.81,-289.79,-271.05,271.05,0.0,0.0,231.23,3.33,244.64,1,fixedpt,comp,False,False,True,True,False,False
1,2029,-369.11,-227.48,227.67,-238.2,-225.73,227.38,0.1,1.11,323.38,3.21,580.26,1,fixedpt,comp,False,False,True,True,False,False
2,2047,-361.82,-191.66,194.08,-217.44,-189.04,191.64,0.15,1.29,342.92,3.5,937.19,1,fixedpt,comp,False,False,True,True,False,False
3,2066,-343.75,-186.0,188.04,-204.89,-185.18,187.54,0.14,1.26,362.74,5.16,1314.86,1,fixedpt,comp,False,False,True,True,False,False
4,2079,-361.65,-168.86,171.54,-187.14,-178.05,180.88,0.17,1.68,406.71,5.2,1737.87,1,fixedpt,comp,False,False,True,True,False,False
5,2087,-338.41,-178.92,180.63,-189.45,-182.63,185.46,0.17,1.71,417.72,5.78,2172.08,1,fixedpt,comp,False,False,True,True,False,False
6,2084,-315.41,-156.73,159.05,-190.73,-185.88,187.6,0.1,1.84,471.4,4.98,2660.39,1,fixedpt,comp,False,False,True,True,False,False
7,2088,-321.76,-176.15,176.65,-184.59,-170.02,171.24,0.07,1.95,505.96,5.16,3183.65,1,fixedpt,comp,False,False,True,True,False,False
8,2091,-297.37,-163.55,165.88,-184.62,-182.07,183.93,0.11,1.84,562.38,4.72,3762.69,1,fixedpt,comp,False,False,True,True,False,False
9,2099,-299.15,-122.26,124.9,-165.47,-98.99,101.75,0.16,2.16,549.88,4.41,4327.84,1,fixedpt,comp,False,False,True,True,False,False
10,2098,-280.34,-131.33,132.67,-117.79,-98.78,101.54,0.16,2.28,532.48,4.31,4876.16,1,fixedpt,comp,False,False,True,True,False,False
11,2098,-265.42,-119.07,119.75,-99.26,-98.26,101.2,0.17,2.22,562.53,4.83,5456.32,1,fixedpt,comp,False,False,True,True,False,False
12,2098,-258.27,-97.59,100.11,-95.56,-95.11,98.02,0.17,2.32,531.54,4.82,6004.85,1,fixedpt,comp,False,False,True,True,False,False
13,2103,-256.86,-101.66,102.67,-98.94,-96.08,98.5,0.14,2.64,567.59,5.03,6588.61,1,fixedpt,comp,False,False,True,True,False,False
14,2108,-245.4,-108.32,111.15,-99.18,-97.7,99.28,0.09,2.71,570.37,5.09,7174.58,1,fixedpt,comp,False,False,True,True,False,False
15,2107,-217.08,-103.88,105.9,-98.66,-96.08,98.5,0.14,2.65,599.63,5.81,7791.53,1,fixedpt,comp,False,False,True,True,False,False
16,2118,-222.96,-94.41,97.44,-95.26,-91.18,93.94,0.16,3.04,576.35,6.55,8388.41,1,fixedpt,comp,False,False,True,True,False,False
17,2112,-205.86,-87.97,89.16,-99.16,-99.04,100.14,0.06,3.05,575.99,5.25,8982.64,1,fixedpt,comp,False,False,True,True,False,False
18,2113,-233.57,-105.6,106.4,-98.81,-96.37,98.99,0.15,3.34,541.84,5.56,9545.01,1,fixedpt,comp,False,False,True,True,False,False
19,2118,-216.53,-78.91,82.22,-87.07,-85.54,88.29,0.16,3.43,582.31,7.05,10146.4,1,fixedpt,comp,False,False,True,True,False,False
20,2127,-219.23,-99.15,101.23,-85.86,-85.42,88.16,0.16,3.53,579.95,7.89,10748.35,1,fixedpt,comp,False,False,True,True,False,False
21,2123,-208.09,-89.01,91.24,-85.74,-85.33,88.07,0.16,3.68,563.81,7.7,11332.7,1,fixedpt,comp,False,False,True,True,False,False
22,2121,-208.83,-86.73,89.72,-86.17,-85.82,88.72,0.17,3.69,610.91,8.54,11966.57,1,fixedpt,comp,False,False,True,True,False,False
23,2113,-211.41,-79.34,81.84,-86.03,-85.82,88.72,0.17,3.69,588.14,8.45,12575.7,1,fixedpt,comp,False,False,True,True,False,False
24,2116,-175.8,-87.71,90.44,-84.48,-84.12,86.85,0.16,3.37,630.12,7.93,13227.65,1,fixedpt,comp,False,False,True,True,False,False
25,2115,-203.78,-77.16,80.46,-85.19,-82.81,85.85,0.18,3.53,612.22,8.94,13863.57,1,fixedpt,comp,False,False,True,True,False,False
26,2116,-199.73,-87.23,90.1,-83.35,-81.92,84.98,0.18,3.39,655.71,8.47,14539.77,1,fixedpt,comp,False,False,True,True,False,False
27,2118,-203.32,-93.73,96.36,-84.37,-82.81,85.85,0.18,3.55,649.14,8.89,15212.25,1,fixedpt,comp,False,False,True,True,False,False
28,2124,-192.22,-80.19,83.78,-89.49,-89.49,92.39,0.17,3.64,702.79,10.04,15936.81,1,fixedpt,comp,False,False,True,True,False,False
29,2122,-177.74,-71.91,76.11,-80.42,-80.36,83.41,0.18,3.75,750.96,7.02,16708.71,1,fixedpt,comp,False,False,True,True,False,False
30,2124,-194.88,-90.92,93.54,-83.08,-80.36,83.41,0.18,3.8,768.73,8.75,17500.91,1,fixedpt,comp,False,False,True,True,False,False
31,2125,-189.25,-86.14,87.99,-81.45,-79.09,81.97,0.17,3.89,737.12,8.54,18260.42,1,fixedpt,comp,False,False,True,True,False,False
32,2129,-189.41,-82.75,85.4,-79.37,-74.25,77.11,0.17,4.18,749.88,11.27,19034.41,1,fixedpt,comp,False,False,True,True,False,False
33,2131,-178.68,-86.9,90.09,-82.27,-80.29,83.34,0.18,4.19,844.52,10.81,19904.93,1,fixedpt,comp,False,False,True,True,False,False
34,2136,-186.41,-72.21,75.03,-76.04,-72.59,75.65,0.18,4.38,775.44,8.92,20702.64,1,fixedpt,comp,False,False,True,True,False,False
35,2138,-170.47,-77.65,81.14,-66.25,-57.08,61.39,0.26,4.23,824.04,10.51,21552.95,1,fixedpt,comp,False,False,True,True,False,False
36,2138,-182.44,-74.46,77.76,-63.89,-57.08,61.39,0.26,4.36,858.64,11.41,22437.53,1,fixedpt,comp,False,False,True,True,False,False
37,2145,-167.08,-72.36,76.0,-70.88,-68.28,73.48,0.31,4.49,846.32,9.84,23307.05,1,fixedpt,comp,False,False,True,True,False,False
38,2148,-153.58,-67.38,71.93,-68.05,-61.11,65.75,0.28,4.17,879.48,9.22,24209.8,1,fixedpt,comp,False,False,True,True,False,False
39,2146,-157.13,-56.73,61.26,-58.59,-53.42,58.8,0.32,4.3,861.04,10.54,25095.0,1,fixedpt,comp,False,False,True,True,False,False
40,2142,-149.54,-62.69,67.34,-59.74,-53.64,59.01,0.32,4.28,881.53,10.78,26000.37,1,fixedpt,comp,False,False,True,True,False,False
41,2148,-165.42,-64.05,67.98,-53.79,-51.53,57.18,0.34,4.49,866.73,11.03,26893.27,1,fixedpt,comp,False,False,True,True,False,False
42,2146,-149.85,-62.58,67.14,-54.56,-52.74,58.05,0.32,4.35,874.37,9.77,27792.13,1,fixedpt,comp,False,False,True,True,False,False
43,2143,-159.55,-61.89,66.31,-54.29,-52.74,58.05,0.32,4.46,866.69,9.45,28683.02,1,fixedpt,comp,False,False,True,True,False,False
44,2143,-158.73,-59.48,64.34,-52.6,-50.61,56.41,0.35,4.44,905.32,10.82,29614.11,1,fixedpt,comp,False,False,True,True,False,False
45,2137,-152.79,-58.74,63.95,-54.39,-50.61,56.41,0.35,4.57,921.38,9.9,30560.31,1,fixedpt,comp,False,False,True,True,False,False
46,2136,-151.94,-56.91,61.99,-54.86,-50.61,56.41,0.35,4.6,943.47,9.43,31528.16,1,fixedpt,comp,False,False,True,True,False,False
47,2139,-149.51,-62.41,67.28,-53.62,-52.67,58.23,0.33,4.43,963.77,13.28,32519.64,1,fixedpt,comp,False,False,True,True,False,False
48,2138,-152.47,-58.01,63.05,-52.96,-50.61,56.41,0.35,4.57,946.54,10.44,33490.56,1,fixedpt,comp,False,False,True,True,False,False
49,2144,-148.77,-58.18,62.51,-53.88,-52.94,58.48,0.33,4.49,905.07,9.79,34419.31,1,fixedpt,comp,False,False,True,True,False,False
50,2145,-147.26,-67.6,71.99,-54.01,-49.97,55.71,0.34,4.51,934.34,11.45,35379.25,1,fixedpt,comp,False,False,True,True,False,False
51,2136,-145.03,-56.49,61.41,-53.17,-49.97,55.71,0.34,4.44,885.67,11.58,36290.69,1,fixedpt,comp,False,False,True,True,False,False
52,2143,-141.7,-64.93,69.48,-52.72,-49.23,54.79,0.33,4.36,898.61,9.84,37211.21,1,fixedpt,comp,False,False,True,True,False,False
53,2140,-143.5,-51.26,57.82,-50.32,-48.38,54.26,0.35,4.68,971.47,11.5,38208.12,1,fixedpt,comp,False,False,True,True,False,False
54,2139,-137.22,-57.2,62.23,-51.05,-50.44,55.84,0.32,4.65,1013.13,11.67,39246.57,1,fixedpt,comp,False,False,True,True,False,False
55,2138,-138.26,-57.35,62.33,-49.73,-48.38,54.26,0.35,4.76,1031.23,12.04,40304.34,1,fixedpt,comp,False,False,True,True,False,False
56,2138,-127.58,-52.39,57.75,-50.52,-49.4,55.08,0.34,4.54,1071.18,11.62,41401.64,1,fixedpt,comp,False,False,True,True,False,False
57,2141,-138.0,-65.11,69.84,-51.42,-50.44,55.84,0.32,4.56,997.87,11.75,42425.63,1,fixedpt,comp,False,False,True,True,False,False
58,2141,-120.15,-52.88,58.02,-50.84,-50.42,55.96,0.33,4.69,1050.09,13.41,43502.04,1,fixedpt,comp,False,False,True,True,False,False
59,2143,-138.12,-54.55,59.57,-50.08,-48.74,54.47,0.34,4.57,1057.43,12.38,44585.01,1,fixedpt,comp,False,False,True,True,False,False
60,2147,-128.27,-52.6,57.73,-49.56,-48.38,54.26,0.35,4.61,1035.29,12.89,45647.18,1,fixedpt,comp,False,False,True,True,False,False
61,2150,-133.76,-56.08,61.15,-51.24,-49.97,55.71,0.34,4.9,1055.64,12.81,46729.89,1,fixedpt,comp,False,False,True,True,False,False
62,2148,-128.66,-56.65,62.23,-50.11,-49.23,54.79,0.33,4.98,1102.78,13.6,47861.51,1,fixedpt,comp,False,False,True,True,False,False
63,2147,-120.79,-53.41,58.7,-49.97,-49.02,54.75,0.34,4.82,1102.9,12.24,48989.9,1,fixedpt,comp,False,False,True,True,False,False
64,2149,-122.63,-50.28,55.14,-49.15,-48.1,53.63,0.33,4.78,1177.22,12.08,50193.51,1,fixedpt,comp,False,False,True,True,False,False
65,2148,-123.26,-52.95,58.89,-49.42,-48.29,54.34,0.36,4.92,1118.03,11.37,51336.9,1,fixedpt,comp,False,False,True,True,False,False
66,2147,-142.42,-54.25,59.72,-49.8,-48.29,54.34,0.36,4.87,1182.85,14.27,52550.1,1,fixedpt,comp,False,False,True,True,False,False
67,2147,-148.45,-50.09,55.67,-48.93,-46.91,52.96,0.36,4.89,1110.59,11.92,53687.21,1,fixedpt,comp,False,False,True,True,False,False
68,2151,-161.73,-57.7,62.47,-50.04,-49.4,55.08,0.34,4.95,1052.24,12.71,54766.2,1,fixedpt,comp,False,False,True,True,False,False
69,2155,-145.29,-58.85,63.7,-49.68,-48.38,54.26,0.35,5.0,1107.28,12.32,55899.47,1,fixedpt,comp,False,False,True,True,False,False
70,2145,-130.81,-50.4,55.55,-48.84,-47.58,53.44,0.35,5.17,1123.48,14.02,57051.14,1,fixedpt,comp,False,False,True,True,False,False
71,2146,-157.2,-54.02,59.33,-49.71,-48.32,53.85,0.33,4.87,1089.76,13.15,58168.13,1,fixedpt,comp,False,False,True,True,False,False
72,2150,-154.37,-55.32,60.87,-49.78,-47.58,53.44,0.35,5.07,1158.08,13.27,59353.84,1,fixedpt,comp,False,False,True,True,False,False
73,2144,-156.64,-52.01,57.34,-48.97,-47.47,53.34,0.35,5.33,1052.12,11.97,60432.2,1,fixedpt,comp,False,False,True,True,False,False
74,2150,-160.81,-52.06,57.6,-49.33,-48.32,53.85,0.33,5.09,1100.33,13.05,61559.23,1,fixedpt,comp,False,False,True,True,False,False
75,2151,-167.63,-55.87,61.22,-49.26,-47.58,53.44,0.35,4.87,1073.58,14.27,62661.14,1,fixedpt,comp,False,False,True,True,False,False
76,2149,-140.55,-57.68,62.69,-50.37,-49.02,54.75,0.34,4.82,1100.62,11.01,63788.22,1,fixedpt,comp,False,False,True,True,False,False
77,2152,-137.92,-51.47,57.18,-48.52,-46.91,52.76,0.35,5.12,1140.76,11.56,64956.03,1,fixedpt,comp,False,False,True,True,False,False
78,2154,-158.14,-56.32,61.44,-48.35,-46.91,52.76,0.35,4.93,1116.21,12.07,66097.12,1,fixedpt,comp,False,False,True,True,False,False
